Epoch 1/10
Trainbatch 1/147 Loss:tensor(3.9513)
Trainbatch 2/147 Loss:tensor(3.9512)
Trainbatch 3/147 Loss:tensor(3.9512)
Trainbatch 4/147 Loss:tensor(3.9513)
Trainbatch 5/147 Loss:tensor(3.9512)
Trainbatch 6/147 Loss:tensor(3.9513)
Trainbatch 7/147 Loss:tensor(3.9513)
Trainbatch 8/147 Loss:tensor(3.9513)
Trainbatch 9/147 Loss:tensor(3.9513)
Trainbatch 10/147 Loss:tensor(3.9513)
Trainbatch 11/147 Loss:tensor(3.9513)
Trainbatch 12/147 Loss:tensor(3.9513)
Trainbatch 13/147 Loss:tensor(3.9512)
Trainbatch 14/147 Loss:tensor(3.9513)
Trainbatch 15/147 Loss:tensor(3.9510)
Trainbatch 16/147 Loss:tensor(3.9512)
Trainbatch 17/147 Loss:tensor(3.9512)
Trainbatch 18/147 Loss:tensor(3.9511)
Trainbatch 19/147 Loss:tensor(3.9512)
Trainbatch 20/147 Loss:tensor(3.9512)
Trainbatch 21/147 Loss:tensor(3.9512)
Trainbatch 22/147 Loss:tensor(3.9511)
Trainbatch 23/147 Loss:tensor(3.9513)
Trainbatch 24/147 Loss:tensor(3.9513)
Trainbatch 25/147 Loss:tensor(3.9511)
Trainbatch 26/147 Loss:tensor(3.9512)
Trainbatch 27/147 Loss:tensor(3.9512)
Trainbatch 28/147 Loss:tensor(3.9512)
Trainbatch 29/147 Loss:tensor(3.9513)
Trainbatch 30/147 Loss:tensor(3.9513)
Trainbatch 31/147 Loss:tensor(3.9512)
Trainbatch 32/147 Loss:tensor(3.9512)
Trainbatch 33/147 Loss:tensor(3.9513)
Trainbatch 34/147 Loss:tensor(3.9513)
Trainbatch 35/147 Loss:tensor(3.9512)
Trainbatch 36/147 Loss:tensor(3.9511)
Trainbatch 37/147 Loss:tensor(3.9513)
Trainbatch 38/147 Loss:tensor(3.9513)
Trainbatch 39/147 Loss:tensor(3.9511)
Trainbatch 40/147 Loss:tensor(3.9514)
Trainbatch 41/147 Loss:tensor(3.9512)
Trainbatch 42/147 Loss:tensor(3.9512)
Trainbatch 43/147 Loss:tensor(3.9512)
Trainbatch 44/147 Loss:tensor(3.9512)
Trainbatch 45/147 Loss:tensor(3.9511)
Trainbatch 46/147 Loss:tensor(3.9512)
Trainbatch 47/147 Loss:tensor(3.9512)
Trainbatch 48/147 Loss:tensor(3.9511)
Trainbatch 49/147 Loss:tensor(3.9512)
Trainbatch 50/147 Loss:tensor(3.9512)
Trainbatch 51/147 Loss:tensor(3.9512)
Trainbatch 52/147 Loss:tensor(3.9513)
Trainbatch 53/147 Loss:tensor(3.9513)
Trainbatch 54/147 Loss:tensor(3.9512)
Trainbatch 55/147 Loss:tensor(3.9511)
Trainbatch 56/147 Loss:tensor(3.9512)
Trainbatch 57/147 Loss:tensor(3.9513)
Trainbatch 58/147 Loss:tensor(3.9512)
Trainbatch 59/147 Loss:tensor(3.9512)
Trainbatch 60/147 Loss:tensor(3.9512)
Trainbatch 61/147 Loss:tensor(3.9511)
Trainbatch 62/147 Loss:tensor(3.9511)
Trainbatch 63/147 Loss:tensor(3.9513)
Trainbatch 64/147 Loss:tensor(3.9513)
Trainbatch 65/147 Loss:tensor(3.9513)
Trainbatch 66/147 Loss:tensor(3.9511)
Trainbatch 67/147 Loss:tensor(3.9512)
Trainbatch 68/147 Loss:tensor(3.9511)
Trainbatch 69/147 Loss:tensor(3.9512)
Trainbatch 70/147 Loss:tensor(3.9513)
Trainbatch 71/147 Loss:tensor(3.9513)
Trainbatch 72/147 Loss:tensor(3.9511)
Trainbatch 73/147 Loss:tensor(3.9512)
Trainbatch 74/147 Loss:tensor(3.9513)
Trainbatch 75/147 Loss:tensor(3.9512)
Trainbatch 76/147 Loss:tensor(3.9513)
Trainbatch 77/147 Loss:tensor(3.9511)
Trainbatch 78/147 Loss:tensor(3.9511)
Trainbatch 79/147 Loss:tensor(3.9512)
Trainbatch 80/147 Loss:tensor(3.9510)
Trainbatch 81/147 Loss:tensor(3.9513)
Trainbatch 82/147 Loss:tensor(3.9512)
Trainbatch 83/147 Loss:tensor(3.9511)
Trainbatch 84/147 Loss:tensor(3.9513)
Trainbatch 85/147 Loss:tensor(3.9511)
Trainbatch 86/147 Loss:tensor(3.9511)
Trainbatch 87/147 Loss:tensor(3.9510)
Trainbatch 88/147 Loss:tensor(3.9511)
Trainbatch 89/147 Loss:tensor(3.9512)
Trainbatch 90/147 Loss:tensor(3.9512)
Trainbatch 91/147 Loss:tensor(3.9512)
Trainbatch 92/147 Loss:tensor(3.9511)
Trainbatch 93/147 Loss:tensor(3.9512)
Trainbatch 94/147 Loss:tensor(3.9510)
Trainbatch 95/147 Loss:tensor(3.9513)
Trainbatch 96/147 Loss:tensor(3.9512)
Trainbatch 97/147 Loss:tensor(3.9511)
Trainbatch 98/147 Loss:tensor(3.9511)
Trainbatch 99/147 Loss:tensor(3.9511)
Trainbatch 100/147 Loss:tensor(3.9511)
Trainbatch 101/147 Loss:tensor(3.9512)
Trainbatch 102/147 Loss:tensor(3.9513)
Trainbatch 103/147 Loss:tensor(3.9512)
Trainbatch 104/147 Loss:tensor(3.9513)
Trainbatch 105/147 Loss:tensor(3.9511)
Trainbatch 106/147 Loss:tensor(3.9511)
Trainbatch 107/147 Loss:tensor(3.9511)
Trainbatch 108/147 Loss:tensor(3.9510)
Trainbatch 109/147 Loss:tensor(3.9511)
Trainbatch 110/147 Loss:tensor(3.9511)
Trainbatch 111/147 Loss:tensor(3.9514)
Trainbatch 112/147 Loss:tensor(3.9511)
Trainbatch 113/147 Loss:tensor(3.9512)
Trainbatch 114/147 Loss:tensor(3.9511)
Trainbatch 115/147 Loss:tensor(3.9512)
Trainbatch 116/147 Loss:tensor(3.9512)
Trainbatch 117/147 Loss:tensor(3.9511)
Trainbatch 118/147 Loss:tensor(3.9511)
Trainbatch 119/147 Loss:tensor(3.9511)
Trainbatch 120/147 Loss:tensor(3.9512)
Trainbatch 121/147 Loss:tensor(3.9511)
Trainbatch 122/147 Loss:tensor(3.9511)
Trainbatch 123/147 Loss:tensor(3.9512)
Trainbatch 124/147 Loss:tensor(3.9510)
Trainbatch 125/147 Loss:tensor(3.9511)
Trainbatch 126/147 Loss:tensor(3.9512)
Trainbatch 127/147 Loss:tensor(3.9513)
Trainbatch 128/147 Loss:tensor(3.9512)
Trainbatch 129/147 Loss:tensor(3.9512)
Trainbatch 130/147 Loss:tensor(3.9512)
Trainbatch 131/147 Loss:tensor(3.9511)
Trainbatch 132/147 Loss:tensor(3.9512)
Trainbatch 133/147 Loss:tensor(3.9511)
Trainbatch 134/147 Loss:tensor(3.9512)
Trainbatch 135/147 Loss:tensor(3.9512)
Trainbatch 136/147 Loss:tensor(3.9512)
Trainbatch 137/147 Loss:tensor(3.9512)
Trainbatch 138/147 Loss:tensor(3.9511)
Trainbatch 139/147 Loss:tensor(3.9511)
Trainbatch 140/147 Loss:tensor(3.9511)
Trainbatch 141/147 Loss:tensor(3.9511)
Trainbatch 142/147 Loss:tensor(3.9511)
Trainbatch 143/147 Loss:tensor(3.9512)
Trainbatch 144/147 Loss:tensor(3.9510)
Trainbatch 145/147 Loss:tensor(3.9510)
Trainbatch 146/147 Loss:tensor(3.9512)
Trainbatch 147/147 Loss:tensor(3.9511)
Testbatch 
1/29 2/29 3/29 4/29 5/29 6/29 7/29 8/29 9/29 10/29 11/29 12/29 13/29 14/29 15/29 16/29 17/29 18/29 19/29 20/29 21/29 22/29 23/29 24/29 25/29 26/29 27/29 28/29 29/29  
TestCorrect tensor(40, device='cuda:2') 1820 tensor(0, device='cuda:2')
Epoch 2/10
Trainbatch 1/147 Loss:tensor(3.9510)
Trainbatch 2/147 Loss:tensor(3.9512)
Trainbatch 3/147 Loss:tensor(3.9513)
Trainbatch 4/147 Loss:tensor(3.9512)
Trainbatch 5/147 Loss:tensor(3.9510)
Trainbatch 6/147 Loss:tensor(3.9511)
Trainbatch 7/147 Loss:tensor(3.9512)
Trainbatch 8/147 Loss:tensor(3.9512)
Trainbatch 9/147 Loss:tensor(3.9511)
Trainbatch 10/147 Loss:tensor(3.9513)
Trainbatch 11/147 Loss:tensor(3.9512)
Trainbatch 12/147 Loss:tensor(3.9512)
Trainbatch 13/147 Loss:tensor(3.9510)
Trainbatch 14/147 Loss:tensor(3.9510)
Trainbatch 15/147 Loss:tensor(3.9511)
Trainbatch 16/147 Loss:tensor(3.9510)
Trainbatch 17/147 Loss:tensor(3.9512)
Trainbatch 18/147 Loss:tensor(3.9512)
Trainbatch 19/147 Loss:tensor(3.9511)
Trainbatch 20/147 Loss:tensor(3.9511)
Trainbatch 21/147 Loss:tensor(3.9511)
Trainbatch 22/147 Loss:tensor(3.9510)
Trainbatch 23/147 Loss:tensor(3.9510)
Trainbatch 24/147 Loss:tensor(3.9511)
Trainbatch 25/147 Loss:tensor(3.9511)
Trainbatch 26/147 Loss:tensor(3.9511)
Trainbatch 27/147 Loss:tensor(3.9512)
Trainbatch 28/147 Loss:tensor(3.9510)
Trainbatch 29/147 Loss:tensor(3.9511)
Trainbatch 30/147 Loss:tensor(3.9510)
Trainbatch 31/147 Loss:tensor(3.9510)
Trainbatch 32/147 Loss:tensor(3.9510)
Trainbatch 33/147 Loss:tensor(3.9511)
Trainbatch 34/147 Loss:tensor(3.9512)
Trainbatch 35/147 Loss:tensor(3.9510)
Trainbatch 36/147 Loss:tensor(3.9510)
Trainbatch 37/147 Loss:tensor(3.9511)
Trainbatch 38/147 Loss:tensor(3.9511)
Trainbatch 39/147 Loss:tensor(3.9512)
Trainbatch 40/147 Loss:tensor(3.9511)
Trainbatch 41/147 Loss:tensor(3.9511)
Trainbatch 42/147 Loss:tensor(3.9510)
Trainbatch 43/147 Loss:tensor(3.9511)
Trainbatch 44/147 Loss:tensor(3.9512)
Trainbatch 45/147 Loss:tensor(3.9512)
Trainbatch 46/147 Loss:tensor(3.9511)
Trainbatch 47/147 Loss:tensor(3.9512)
Trainbatch 48/147 Loss:tensor(3.9512)
Trainbatch 49/147 Loss:tensor(3.9511)
Trainbatch 50/147 Loss:tensor(3.9512)
Trainbatch 51/147 Loss:tensor(3.9511)
Trainbatch 52/147 Loss:tensor(3.9511)
Trainbatch 53/147 Loss:tensor(3.9510)
Trainbatch 54/147 Loss:tensor(3.9511)
Trainbatch 55/147 Loss:tensor(3.9511)
Trainbatch 56/147 Loss:tensor(3.9511)
Trainbatch 57/147 Loss:tensor(3.9512)
Trainbatch 58/147 Loss:tensor(3.9510)
Trainbatch 59/147 Loss:tensor(3.9512)
Trainbatch 60/147 Loss:tensor(3.9512)
Trainbatch 61/147 Loss:tensor(3.9511)
Trainbatch 62/147 Loss:tensor(3.9511)
Trainbatch 63/147 Loss:tensor(3.9511)
Trainbatch 64/147 Loss:tensor(3.9512)
Trainbatch 65/147 Loss:tensor(3.9509)
Trainbatch 66/147 Loss:tensor(3.9512)
Trainbatch 67/147 Loss:tensor(3.9512)
Trainbatch 68/147 Loss:tensor(3.9512)
Trainbatch 69/147 Loss:tensor(3.9511)
Trainbatch 70/147 Loss:tensor(3.9511)
Trainbatch 71/147 Loss:tensor(3.9511)
Trainbatch 72/147 Loss:tensor(3.9510)
Trainbatch 73/147 Loss:tensor(3.9511)
Trainbatch 74/147 Loss:tensor(3.9511)
Trainbatch 75/147 Loss:tensor(3.9511)
Trainbatch 76/147 Loss:tensor(3.9512)
Trainbatch 77/147 Loss:tensor(3.9512)
Trainbatch 78/147 Loss:tensor(3.9510)
Trainbatch 79/147 Loss:tensor(3.9512)
Trainbatch 80/147 Loss:tensor(3.9510)
Trainbatch 81/147 Loss:tensor(3.9510)
Trainbatch 82/147 Loss:tensor(3.9510)
Trainbatch 83/147 Loss:tensor(3.9510)
Trainbatch 84/147 Loss:tensor(3.9511)
Trainbatch 85/147 Loss:tensor(3.9511)
Trainbatch 86/147 Loss:tensor(3.9512)
Trainbatch 87/147 Loss:tensor(3.9511)
Trainbatch 88/147 Loss:tensor(3.9509)
Trainbatch 89/147 Loss:tensor(3.9511)
Trainbatch 90/147 Loss:tensor(3.9510)
Trainbatch 91/147 Loss:tensor(3.9511)
Trainbatch 92/147 Loss:tensor(3.9510)
Trainbatch 93/147 Loss:tensor(3.9510)
Trainbatch 94/147 Loss:tensor(3.9511)
Trainbatch 95/147 Loss:tensor(3.9511)
Trainbatch 96/147 Loss:tensor(3.9509)
Trainbatch 97/147 Loss:tensor(3.9511)
Trainbatch 98/147 Loss:tensor(3.9511)
Trainbatch 99/147 Loss:tensor(3.9511)
Trainbatch 100/147 Loss:tensor(3.9510)
Trainbatch 101/147 Loss:tensor(3.9511)
Trainbatch 102/147 Loss:tensor(3.9509)
Trainbatch 103/147 Loss:tensor(3.9510)
Trainbatch 104/147 Loss:tensor(3.9510)
Trainbatch 105/147 Loss:tensor(3.9510)
Trainbatch 106/147 Loss:tensor(3.9512)
Trainbatch 107/147 Loss:tensor(3.9509)
Trainbatch 108/147 Loss:tensor(3.9509)
Trainbatch 109/147 Loss:tensor(3.9510)
Trainbatch 110/147 Loss:tensor(3.9510)
Trainbatch 111/147 Loss:tensor(3.9511)
Trainbatch 112/147 Loss:tensor(3.9511)
Trainbatch 113/147 Loss:tensor(3.9510)
Trainbatch 114/147 Loss:tensor(3.9510)
Trainbatch 115/147 Loss:tensor(3.9510)
Trainbatch 116/147 Loss:tensor(3.9511)
Trainbatch 117/147 Loss:tensor(3.9510)
Trainbatch 118/147 Loss:tensor(3.9510)
Trainbatch 119/147 Loss:tensor(3.9510)
Trainbatch 120/147 Loss:tensor(3.9509)
Trainbatch 121/147 Loss:tensor(3.9511)
Trainbatch 122/147 Loss:tensor(3.9511)
Trainbatch 123/147 Loss:tensor(3.9512)
Trainbatch 124/147 Loss:tensor(3.9511)
Trainbatch 125/147 Loss:tensor(3.9511)
Trainbatch 126/147 Loss:tensor(3.9510)
Trainbatch 127/147 Loss:tensor(3.9510)
Trainbatch 128/147 Loss:tensor(3.9510)
Trainbatch 129/147 Loss:tensor(3.9509)
Trainbatch 130/147 Loss:tensor(3.9511)
Trainbatch 131/147 Loss:tensor(3.9511)
Trainbatch 132/147 Loss:tensor(3.9509)
Trainbatch 133/147 Loss:tensor(3.9511)
Trainbatch 134/147 Loss:tensor(3.9509)
Trainbatch 135/147 Loss:tensor(3.9512)
Trainbatch 136/147 Loss:tensor(3.9510)
Trainbatch 137/147 Loss:tensor(3.9510)
Trainbatch 138/147 Loss:tensor(3.9509)
Trainbatch 139/147 Loss:tensor(3.9509)
Trainbatch 140/147 Loss:tensor(3.9510)
Trainbatch 141/147 Loss:tensor(3.9509)
Trainbatch 142/147 Loss:tensor(3.9510)
Trainbatch 143/147 Loss:tensor(3.9509)
Trainbatch 144/147 Loss:tensor(3.9510)
Trainbatch 145/147 Loss:tensor(3.9509)
Trainbatch 146/147 Loss:tensor(3.9510)
Trainbatch 147/147 Loss:tensor(3.9511)
Testbatch 
1/29 2/29 3/29 4/29 5/29 6/29 7/29 8/29 9/29 10/29 11/29 12/29 13/29 14/29 15/29 16/29 17/29 18/29 19/29 20/29 21/29 22/29 23/29 24/29 25/29 26/29 27/29 28/29 29/29  
TestCorrect tensor(40, device='cuda:2') 1820 tensor(0, device='cuda:2')
Epoch 3/10
Trainbatch 1/147 Loss:tensor(3.9509)
Trainbatch 2/147 Loss:tensor(3.9510)
Trainbatch 3/147 Loss:tensor(3.9510)
Trainbatch 4/147 Loss:tensor(3.9511)
Trainbatch 5/147 Loss:tensor(3.9509)
Trainbatch 6/147 Loss:tensor(3.9511)
Trainbatch 7/147 Loss:tensor(3.9510)
Trainbatch 8/147 Loss:tensor(3.9510)
Trainbatch 9/147 Loss:tensor(3.9511)
Trainbatch 10/147 Loss:tensor(3.9510)
Trainbatch 11/147 Loss:tensor(3.9509)
Trainbatch 12/147 Loss:tensor(3.9512)
Trainbatch 13/147 Loss:tensor(3.9510)
Trainbatch 14/147 Loss:tensor(3.9510)
Trainbatch 15/147 Loss:tensor(3.9509)
Trainbatch 16/147 Loss:tensor(3.9509)
Trainbatch 17/147 Loss:tensor(3.9511)
Trainbatch 18/147 Loss:tensor(3.9509)
Trainbatch 19/147 Loss:tensor(3.9509)
Trainbatch 20/147 Loss:tensor(3.9509)
Trainbatch 21/147 Loss:tensor(3.9509)
Trainbatch 22/147 Loss:tensor(3.9509)
Trainbatch 23/147 Loss:tensor(3.9510)
Trainbatch 24/147 Loss:tensor(3.9510)
Trainbatch 25/147 Loss:tensor(3.9510)
Trainbatch 26/147 Loss:tensor(3.9510)
Trainbatch 27/147 Loss:tensor(3.9509)
Trainbatch 28/147 Loss:tensor(3.9509)
Trainbatch 29/147 Loss:tensor(3.9509)
Trainbatch 30/147 Loss:tensor(3.9509)
Trainbatch 31/147 Loss:tensor(3.9510)
Trainbatch 32/147 Loss:tensor(3.9510)
Trainbatch 33/147 Loss:tensor(3.9510)
Trainbatch 34/147 Loss:tensor(3.9510)
Trainbatch 35/147 Loss:tensor(3.9510)
Trainbatch 36/147 Loss:tensor(3.9510)
Trainbatch 37/147 Loss:tensor(3.9510)
Trainbatch 38/147 Loss:tensor(3.9510)
Trainbatch 39/147 Loss:tensor(3.9510)
Trainbatch 40/147 Loss:tensor(3.9510)
